Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Fish and chips price rise tops UK takeaways,The deep fried delicacy has seen the biggest price increase of some of the UKs most popular takeaways according to new figures,BBC Business,2024-08-26T07:21:21.655817,fish chip price rise top uk takeaway . deep fried delicacy seen biggest price increase uk popular takeaway according new figure,0.7096,Positive
Charities fear double energy price hit for pensioners,Rising energy prices and the withdrawal of financial support will hit some hard charities say,BBC Business,2024-08-26T07:21:21.655817,charity fear double energy price hit pensioner . rising energy price withdrawal financial support hit hard charity say,0.7906,Positive
Royal Mail fails to meet spring delivery targets,Royal Mail delivered less than 80 of first class post on time between April and the end of June,BBC Business,2024-08-26T07:21:21.655817,royal mail fails meet spring delivery target . royal mail delivered less 80 first class post time april end june,-0.4215,Negative
Typical household energy bill up 149 a year in October,Energy regulator Ofgem announces price changes for 27 million households in England Wales and Scotland,BBC Business,2024-08-26T07:21:21.655817,typical household energy bill 149 year october . energy regulator ofgem announces price change 27 million household england wale scotland,0.4939,Positive
Shein reveals child labour cases at suppliers,The Chinese fast fashion giant has been tightening scrutiny of firms that make the clothes it sells,BBC Business,2024-08-26T07:21:21.655817,shein reveals child labour case supplier . chinese fast fashion giant tightening scrutiny firm make clothes sell,0.0,Neutral
Starbucks new boss under fire for 1000mile commute,Job offer which allows new boss to commute to and from work on corporate jet sparked criticism,BBC Business,2024-08-26T07:21:21.655817,starbucks new bos fire 1000mile commute . job offer allows new bos commute work corporate jet sparked criticism,-0.6486,Negative
Plan to hike UK windfall tax sparks energy jobs warning,Firms across the supply chain to the oil and gas industry have warned that official plans threaten investment,BBC Business,2024-08-26T07:21:21.655817,plan hike uk windfall tax spark energy job warning . firm across supply chain oil gas industry warned official plan threaten investment,-0.4767,Negative
Child benefit claims rise after income rule change,The number of new claims rose in April after a rule change on how much parents can earn and still be eligible,BBC Business,2024-08-26T07:21:21.655817,child benefit claim rise income rule change . number new claim rose april rule change much parent earn still eligible,0.5106,Positive
In the midnight sun slaloming through icebergs brothers on perilous Arctic voyage,Isak and Alex Rockstrm face freezing waters and icebergs as they sail the perilous Northwest Passage,BBC Earth,2024-08-26T07:21:21.724161,midnight sun slaloming iceberg brother perilous arctic voyage . isak alex rockstrm face freezing water iceberg sail perilous northwest passage,-0.1027,Neutral
Honey not marmalade is saving the real Paddington Bear,Drought and conflict with farmers are threatening Bolivias Andean bear the reallife Paddington Bear Now a beekeeping project is helping protect this endangered species,BBC Earth,2024-08-26T07:21:21.724161,honey marmalade saving real paddington bear . drought conflict farmer threatening bolivia andean bear reallife paddington bear beekeeping project helping protect endangered specie,-0.2263,Neutral
The deceptive power of a category 1 hurricane,Dont be lured into a false sense of security by a category one hurricane storm surge and flooding mean they can be as dangerous as a category five,BBC Earth,2024-08-26T07:21:21.724161,deceptive power category 1 hurricane . dont lured false sense security category one hurricane storm surge flooding mean dangerous category five,-0.1779,Neutral
The scientists drilling into an active Icelandic volcano,Scientists are preparing to drill into the rock of an Icelandic volcano to learn more about how volcanoes behave,BBC Earth,2024-08-26T07:21:21.724161,scientist drilling active icelandic volcano . scientist preparing drill rock icelandic volcano learn volcano behave,0.4019,Positive
Earths spectacular and remote capital of lightning,With storms occurring between 140 to 160 nights a year its no wonder the area is a world record holder,BBC Earth,2024-08-26T07:21:21.724161,earth spectacular remote capital lightning . storm occurring 140 160 night year wonder area world record holder,0.0,Neutral
Less is more Can degrowth save the world,The degrowth movement questions the feasibility of the idea of endless economic growth on a finite planet,BBC Earth,2024-08-26T07:21:21.724161,less degrowth save world . degrowth movement question feasibility idea endless economic growth finite planet,0.6728,Positive
How fixing how we farm might stop the next pandemic,Land use for food and agriculture around the world is putting pressure on climate and biodiversity,BBC Earth,2024-08-26T07:21:21.724161,fixing farm might stop next pandemic . land use food agriculture around world putting pressure climate biodiversity,-0.5267,Negative
How electric vehicles could improve our mental health,Noise and air pollution are major threats and EVs can therefore offer a promising solution,BBC Earth,2024-08-26T07:21:21.724161,electric vehicle could improve mental health . noise air pollution major threat ev therefore offer promising solution,0.5423,Positive
How greening our cities can reduce heat stress,Heat is the most deadly extreme weather phenomenon and cities are seeking ways to cool their urban cores,BBC Earth,2024-08-26T07:21:21.724161,greening city reduce heat stress . heat deadly extreme weather phenomenon city seeking way cool urban core,-0.128,Neutral
How climate chaos is threatening the real Paddington bear,Drought forces the real Paddington Bear into deadly conflict with cattle farmers in the Andes,BBC Earth,2024-08-26T07:21:21.724161,climate chaos threatening real paddington bear . drought force real paddington bear deadly conflict cattle farmer andes,-0.8555,Negative
Tidal kites New technology harnessing ocean energy,These mechanical creatures lurk beneath the waters surface and power homes in the Faroe Islands,BBC Earth,2024-08-26T07:21:21.724161,tidal kite new technology harnessing ocean energy . mechanical creature lurk beneath water surface power home faroe island,0.0772,Neutral
Malaysias adventure hotspot that crosses seven habitats,An 11mile hike in the Bako National Park in Malaysia transports travellers through seven distinct habitats,BBC Earth,2024-08-26T07:21:21.724161,malaysia adventure hotspot cross seven habitat . 11mile hike bako national park malaysia transport traveller seven distinct habitat,0.3182,Positive
The global phenomenon swallowing whole neighbourhoods,Giant ravines Entire communities are disappearing because of an extreme form of soil erosion,BBC Earth,2024-08-26T07:21:21.724161,global phenomenon swallowing whole neighbourhood . giant ravine entire community disappearing extreme form soil erosion,0.0,Neutral
A tale of the US through abandoned buildings,Two urban explorers stories of decay tell a tale of a changing American cultural landscape,BBC Earth,2024-08-26T07:21:21.724161,tale u abandoned building . two urban explorer story decay tell tale changing american cultural landscape,-0.6908,Negative
What makes the emperor penguin an eggcellent father,In the BBC Select documentary Penguins Spy in the Huddle we explore the world of penguin fathers,BBC Earth,2024-08-26T07:21:21.724161,make emperor penguin eggcellent father . bbc select documentary penguin spy huddle explore world penguin father,0.0,Neutral
The floating houses that are resilient to extreme weather,The floating houses built to withstand typhoons and flooding in the Philippines,BBC Earth,2024-08-26T07:21:21.724161,floating house resilient extreme weather . floating house built withstand typhoon flooding philippine,0.0,Neutral
What its like to camp in Antarctica,Marc Cieslak spends a night on ice camping under the stars,BBC Earth,2024-08-26T07:21:21.724161,like camp antarctica . marc cieslak spends night ice camping star,0.3612,Positive
Why sunsets on Mars are tinted blue,The reason behind the Red Planets nickname is also why its sunrises and sunsets look pale blue,BBC Earth,2024-08-26T07:21:21.724161,sunset mar tinted blue . reason behind red planet nickname also sunrise sunset look pale blue,0.0,Neutral
Molossia A small unrecognised nation within the US,With its own currency and head of state this American micronation has become an odd tourist destination,BBC Earth,2024-08-26T07:21:21.724161,molossia small unrecognised nation within u . currency head state american micronation become odd tourist destination,-0.3182,Negative
Can these 3Dprinted sea walls protect marine wildlife,One team is on a mission to create 3D printed sea walls with environmental benefits,BBC Earth,2024-08-26T07:21:21.724161,3dprinted sea wall protect marine wildlife . one team mission create 3d printed sea wall environmental benefit,0.7717,Positive
Ghost towns What nature does without us,Ghost towns are remnants of lost communities but also a testament to natures persistence,BBC Earth,2024-08-26T07:21:21.724161,ghost town nature without u . ghost town remnant lost community also testament nature persistence,-0.7096,Negative
Spectacular Nasa footage of solar activity behind the aurora,Our stars activity is increasing and that could mean more supercharged light shows on Earth,BBC Earth,2024-08-26T07:21:21.724161,spectacular nasa footage solar activity behind aurora . star activity increasing could mean supercharged light show earth,0.0,Neutral
A visit to one of Antarcticas stunning penguin colonies,Marc Cieslak finds out how gentoo penguins are adapting to a warming climate,BBC Earth,2024-08-26T07:21:21.724161,visit one antarctica stunning penguin colony . marc cieslak find gentoo penguin adapting warming climate,0.4939,Positive
Homes in Wales have the most bins in the UK,Residents in Blaenau Gwent Merthyr Tydfil and Neath Port Talbot are among those with the most waste to sort,BBC Earth,2024-08-26T07:21:21.724161,home wale bin uk . resident blaenau gwent merthyr tydfil neath port talbot among waste sort,-0.3818,Negative
Berkshires Big Picture Mondays image of the county,Showcasing the best images sent to us from around Berkshire,BBC Earth,2024-08-26T07:21:21.724161,berkshire big picture monday image county . showcasing best image sent u around berkshire,0.6369,Positive
Dorsets Big Picture Mondays image of the county,Showcasing the best images sent to us from around Dorset,BBC Earth,2024-08-26T07:21:21.724161,dorsets big picture monday image county . showcasing best image sent u around dorset,0.6369,Positive
Chalk stream project supported with 350k grant,The Not Bourne Yesterday project aims to conserve the rare rivers environmental and cultural heritage,BBC Earth,2024-08-26T07:21:21.724161,chalk stream project supported 350k grant . bourne yesterday project aim conserve rare river environmental cultural heritage,0.5859,Positive
Oxfordshires Big Picture Mondays image of the county,Showcasing the best images sent to us from around Oxfordshire,BBC Earth,2024-08-26T07:21:21.724161,oxfordshires big picture monday image county . showcasing best image sent u around oxfordshire,0.6369,Positive
Hampshire Isle of Wight Mondays Big Picture,Showcasing the best images sent to us from around Hampshire Isle of Wight,BBC Earth,2024-08-26T07:21:21.724161,hampshire isle wight monday big picture . showcasing best image sent u around hampshire isle wight,0.6369,Positive
City recycles more than 23 million coffee pods,About 3500 Oxford households contribute to the recycling of millions of used coffee pods,BBC Earth,2024-08-26T07:21:21.724161,city recycles 23 million coffee pod . 3500 oxford household contribute recycling million used coffee pod,0.0,Neutral
Dorsets Big Picture Sundays image of the county,Showcasing the best images sent to us from around Dorset,BBC Earth,2024-08-26T07:21:21.724161,dorsets big picture sunday image county . showcasing best image sent u around dorset,0.6369,Positive
Hampshire Isle of Wight Sundays Big Picture,Showcasing the best images sent to us from around Hampshire Isle of Wight,BBC Earth,2024-08-26T07:21:21.724161,hampshire isle wight sunday big picture . showcasing best image sent u around hampshire isle wight,0.6369,Positive
Were Here Star Queen Priyanka on Process of Making New Album Devastatia Upcoming Tour,Queen Priyanka the inaugural winner of Canadas Drag Race has released a new album Devastatia The Were Here star has been working hard at creating the hyperpop album which opens with a catchy and selfconfident anthem Im a Star that features the drag queen turned pop star telling the listener You are good enough,Hollywood Reporter,2024-08-26T07:21:21.854146,star queen priyanka process making new album devastatia upcoming tour . queen priyanka inaugural winner canada drag race released new album devastatia star working hard creating hyperpop album open catchy selfconfident anthem im star feature drag queen turned pop star telling listener good enough,0.6908,Positive
Chris Hemsworth Surprises 70000 Fans in Romania Playing Drums at Ed Sheeran Concert,Nearly 70000 fans inside Bucharest Romanias National Arena got the surprise of a lifetime during a stop on Ed Sheerans The Tour aka The Mathematics Tour on Saturday night Yes that was Chris Hemsworth playing the drums on the track Thinking Out Loud The unique moment a first for Hemsworth was captured for an,Hollywood Reporter,2024-08-26T07:21:21.854146,chris hemsworth surprise 70000 fan romania playing drum ed sheeran concert . nearly 70000 fan inside bucharest romania national arena got surprise lifetime stop ed sheerans tour aka mathematics tour saturday night yes chris hemsworth playing drum track thinking loud unique moment first hemsworth captured,0.872,Positive
Sally Field Says She Returned to Social Media Because of Kamala Harris Presidential Bid Hope Is Here,Sally Field has returned to social media thanks to Kamala Harris presidential bid The Oscarwinning actress posted two separate posts on her Instagram sharing that she is back on the platform following Harris running for president alongside Tim Walz as her vice president nominee Ive not been on social media Not since it became public,Hollywood Reporter,2024-08-26T07:21:21.854146,sally field say returned social medium kamala harris presidential bid hope . sally field returned social medium thanks kamala harris presidential bid oscarwinning actress posted two separate post instagram sharing back platform following harris running president alongside tim walz vice president nominee ive social medium since became public,0.8225,Positive
Chappell Roan Says Shes Scared and Tired of Fans Trying to Normalize Predatory Behavior,Chappell Roan is addressing the ongoing concerning behavior shes experienced from people who claim to be her fans The Good Luck Babe singer who climbed her way to fame within the past year took to Instagram on Friday to share a lengthy note pleading for people to stop touching me stop being weird to my,Hollywood Reporter,2024-08-26T07:21:21.854146,chappell roan say shes scared tired fan trying normalize predatory behavior . chappell roan addressing ongoing concerning behavior shes experienced people claim fan good luck babe singer climbed way fame within past year took instagram friday share lengthy note pleading people stop touching stop weird,0.5719,Positive
Bill Maher Is Confused Why Charli XCX Labeled Kamala Harris Brat It Sounds Like Trump,Bill Maher has realized hes behind on current internet slang namely Brat Summer after being on a monthlong hiatus from Real Time While chatting with CNN anchor Kaitlan Collins on Fridays episode the host attempted to understand the viral phenomenon which started after Charli XCX dropped her latest studio album titled Brat in June thats,Hollywood Reporter,2024-08-26T07:21:21.854146,bill maher confused charli xcx labeled kamala harris brat sound like trump . bill maher realized he behind current internet slang namely brat summer monthlong hiatus real time chatting cnn anchor kaitlan collins friday episode host attempted understand viral phenomenon started charli xcx dropped latest studio album titled brat june thats,0.0516,Neutral
Girl Group KATSEYE Is Ready to Do It Their Own Way,Last year Kpop giant Hybe and Geffen Records announced the six members selected to be part of their first global girl group KATSEYE Billed as an international group with final members hailing from America the Philippines South Korea and Switzerland the group was created using Kpop artist development methodologies through the audition program The Debut,Hollywood Reporter,2024-08-26T07:21:21.854146,girl group katseye ready way . last year kpop giant hybe geffen record announced six member selected part first global girl group katseye billed international group final member hailing america philippine south korea switzerland group created using kpop artist development methodology audition program debut,0.5423,Positive
Cheryl Hines Enthusiasm for Donald Trump Could Not Be More Curbed,Cheryl Hines who shot to fame playing the beleaguered wife of Larry David on Curb Your Enthusiasm has faced her share of reallife headaches as the wife of Robert F Kennedy Jr But the actress is about to face her biggest challenge yet as her husband suspends his independent campaign for president and throws his,Hollywood Reporter,2024-08-26T07:21:21.854146,cheryl hines enthusiasm donald trump could curbed . cheryl hines shot fame playing beleaguered wife larry david curb enthusiasm faced share reallife headache wife robert f kennedy jr actress face biggest challenge yet husband suspends independent campaign president throw,0.9001,Positive
RFK Jr Ends Campaign Backs Trump as Wife Cheryl Hines Says All Parties Are Truly Good People,Robert F Kennedy Jr has called off his longshot presidential campaign and has thrown his support behind Republican presidential nominee Donald Trump The move is a stunning bit of political calculus from a scion of Americas most storied Democratic dynasty Teased earlier this week by the candidate and his running mate Nicole Shanahan the news,Hollywood Reporter,2024-08-26T07:21:21.854146,rfk jr end campaign back trump wife cheryl hines say party truly good people . robert f kennedy jr called longshot presidential campaign thrown support behind republican presidential nominee donald trump move stunning bit political calculus scion america storied democratic dynasty teased earlier week candidate running mate nicole shanahan news,0.891,Positive
Would a Taylor Swift Endorsement Actually Impact the Presidential Race,Bad blood appears to abound between supporters for Vice President Kamala Harris and former President Donald Trump heading into Novembers tight presidential election While both sides have enlisted varying degrees of star power at their respective national conventions there appears to be one figure whose endorsement the two candidates seemingly covet Taylor Swift Trump took,Hollywood Reporter,2024-08-26T07:21:21.854146,would taylor swift endorsement actually impact presidential race . bad blood appears abound supporter vice president kamala harris former president donald trump heading november tight presidential election side enlisted varying degree star power respective national convention appears one figure whose endorsement two candidate seemingly covet taylor swift trump took,0.765,Positive
Ronda Rousey Apologizes for 2013 Sandy Hook Tweet I Should Have Been Canceled,Ronda Rousey has apologized for her 2013 tweet about the Sandy Hook Elementary School shooting The former MMA fighter shared a statement on social media expressing her regret over sharing a conspiracy theory video that suggested that the shooting had been staged I cant say how many times Ive redrafted this apology over the last,Hollywood Reporter,2024-08-26T07:21:21.854146,ronda rousey apologizes 2013 sandy hook tweet canceled . ronda rousey apologized 2013 tweet sandy hook elementary school shooting former mma fighter shared statement social medium expressing regret sharing conspiracy theory video suggested shooting staged cant say many time ive redrafted apology last,0.5574,Positive
Nicole Avant Reflects on Resilience and Coping with Loss No One Is Exempt,Nicole Avant spent much of her childhood summers in holiday enclaves like Oak Bluffs in Marthas Vineyard and Sag Harbor in Long Island vacation havens created by the Black middleclass elites as they were often denied entry elsewhere My parents took me there and it was great for me growing up to see Black doctors,Hollywood Reporter,2024-08-26T07:21:21.854146,nicole avant reflects resilience coping loss one exempt . nicole avant spent much childhood summer holiday enclave like oak bluff marthas vineyard sag harbor long island vacation haven created black middleclass elite often denied entry elsewhere parent took great growing see black doctor,0.802,Positive
Kamala Harris Is Campaigning as a Prosecutor Popular Entertainment Has Long Favored Their Antagonist,As she accepted the Democratic nomination Thursday night Kamala Harris played up her attorneygeneral past As a prosecutor when I had a case I charged it not in the name of the victim but in the name of the people she told the United Center crowd This follows a strategy she has pursued since ramping up,Hollywood Reporter,2024-08-26T07:21:21.854146,kamala harris campaigning prosecutor popular entertainment long favored antagonist . accepted democratic nomination thursday night kamala harris played attorneygeneral past prosecutor case charged name victim name people told united center crowd follows strategy pursued since ramping,0.836,Positive
Loft Orbital forms joint venture with UAEbased firm to scale satellite production in the Middle East,A holding company affiliated with an Emirati royal family is injecting a new joint venture between Abu Dhabibased Marlan Space and startup Loft Orbital with over 100 million to grow,TechCrunch,2024-08-26T07:21:22.004084,loft orbital form joint venture uaebased firm scale satellite production middle east . holding company affiliated emirati royal family injecting new joint venture abu dhabibased marlan space startup loft orbital 100 million grow,0.0,Neutral
In 2024 it really is better to run a startup in San Francisco according to data and founders whove relocated,San Franciscos AI startup boom is so big even international founders who dont run AI startups are relocating there to help their companies grow according to several founders who recently,TechCrunch,2024-08-26T07:21:22.004084,2024 really better run startup san francisco according data founder whove relocated . san franciscos ai startup boom big even international founder dont run ai startup relocating help company grow according several founder recently,0.7089,Positive
Y Combinator backs its first defense startup Ares Industries,The first defense startup to receive backing from Y Combinator Ares Industries launched earlier this week In a post on the YC website the startup outlined a vision to build,TechCrunch,2024-08-26T07:21:22.004084,combinator back first defense startup are industry . first defense startup receive backing combinator are industry launched earlier week post yc website startup outlined vision build,0.5574,Positive
Telegram founder Pavel Durov arrested in France,Pavel Durov founder and CEO of messaging app Telegram was arrested on Saturday evening while leaving his private jet at Frances Le Bourget airport as initially reported by French television,TechCrunch,2024-08-26T07:21:22.004084,telegram founder pavel durov arrested france . pavel durov founder ceo messaging app telegram arrested saturday evening leaving private jet france le bourget airport initially reported french television,-0.7351,Negative
The Port of Seattle and SeaTac Airport say theyve been hit by possible cyberattack,The Port of Seattle which also operates the SeattleTacoma International Airport said it was hit with a possible cyberattack that appeared to affect websites and phone systems The port first,TechCrunch,2024-08-26T07:21:22.004084,port seattle seatac airport say theyve hit possible cyberattack . port seattle also operates seattletacoma international airport said hit possible cyberattack appeared affect website phone system port first,0.0,Neutral
Travly lets travelers submit videos for a chance to earn a 5 commission from hotel bookings,Travly is a new socialfirst discovery and hotel booking platform designed to cater to the growing number of travelers who rely on shortform video content for trip ideas The platform,TechCrunch,2024-08-26T07:21:22.004084,travly let traveler submit video chance earn 5 commission hotel booking . travly new socialfirst discovery hotel booking platform designed cater growing number traveler rely shortform video content trip idea platform,0.4588,Positive
Stephen Wolfram thinks we need philosophers working on big questions around AI,As AI developers and others start to think more deeply about how computers and people intersect Stephan Wolfram says it is becoming a much more of a philosophical exercise,TechCrunch,2024-08-26T07:21:22.004084,stephen wolfram think need philosopher working big question around ai . ai developer others start think deeply computer people intersect stephan wolfram say becoming much philosophical exercise,0.0,Neutral
The 12 biggest takeprivate PE acquisitions so far this year in tech,A roundup of the years billiondollar takeprivate deals in the technology sector,TechCrunch,2024-08-26T07:21:22.004084,12 biggest takeprivate pe acquisition far year tech . roundup year billiondollar takeprivate deal technology sector,0.0,Neutral
TPG nears 150M funding in Indias Eruditus at 23B valuation,Eruditus an Indian edtech startup is in advanced stages of talks to secure about 150 million in new funding two sources familiar with the matter told TechCrunch in what would,TechCrunch,2024-08-26T07:21:22.004084,tpg nears 150m funding india eruditus 23b valuation . eruditus indian edtech startup advanced stage talk secure 150 million new funding two source familiar matter told techcrunch would,0.5423,Positive
Apple reportedly announcing iPhone 16 lineup and more on Sept 10,Apple will be unveiling new products on September 10 with the announced phones going on sale on September 20 according to a report from Bloombergs Mark Gurman That lineup will,TechCrunch,2024-08-26T07:21:22.004084,apple reportedly announcing iphone 16 lineup sept 10. apple unveiling new product september 10 announced phone going sale september 20 according report bloombergs mark gurman lineup,0.0,Neutral
The fallout after Bolts aggressive fundraising attempt has been wild,After fintech Bolt surprised the industry with a leaked term sheet that revealed it is trying to raise at a 14 billion valuation things got weird,TechCrunch,2024-08-26T07:21:22.004084,fallout bolt aggressive fundraising attempt wild . fintech bolt surprised industry leaked term sheet revealed trying raise 14 billion valuation thing got weird,-0.4019,Negative
