Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Why sunsets on Mars are tinted blue,The reason behind the Red Planets nickname is also why its sunrises and sunsets look pale blue,BBC Earth,2024-08-24T11:50:28.802935,sunset mar tinted blue . reason behind red planet nickname also sunrise sunset look pale blue,0.0,Neutral
Molossia A small unrecognised nation within the US,With its own currency and head of state this American micronation has become an odd tourist destination,BBC Earth,2024-08-24T11:50:28.802935,molossia small unrecognised nation within u . currency head state american micronation become odd tourist destination,-0.3182,Negative
Can these 3Dprinted sea walls protect marine wildlife,One team is on a mission to create 3D printed sea walls with environmental benefits,BBC Earth,2024-08-24T11:50:28.802935,3dprinted sea wall protect marine wildlife . one team mission create 3d printed sea wall environmental benefit,0.7717,Positive
Ghost towns What nature does without us,Ghost towns are remnants of lost communities but also a testament to natures persistence,BBC Earth,2024-08-24T11:50:28.802935,ghost town nature without u . ghost town remnant lost community also testament nature persistence,-0.7096,Negative
Spectacular Nasa footage of solar activity behind the aurora,Our stars activity is increasing and that could mean more supercharged light shows on Earth,BBC Earth,2024-08-24T11:50:28.802935,spectacular nasa footage solar activity behind aurora . star activity increasing could mean supercharged light show earth,0.0,Neutral
A visit to one of Antarcticas stunning penguin colonies,Marc Cieslak finds out how gentoo penguins are adapting to a warming climate,BBC Earth,2024-08-24T11:50:28.802935,visit one antarctica stunning penguin colony . marc cieslak find gentoo penguin adapting warming climate,0.4939,Positive
Pet abduction becomes a specific offence in NI,Pet abduction has become a specific offence with those found guilty facing a fine or prison,BBC Earth,2024-08-24T11:50:28.802935,pet abduction becomes specific offence ni . pet abduction become specific offence found guilty facing fine prison,-0.946,Negative
Adventure hub plan set for national park backing,Plans are set to be back by a national park despite campaigners concerns over coastal wildlife,BBC Earth,2024-08-24T11:50:28.802935,adventure hub plan set national park backing . plan set back national park despite campaigner concern coastal wildlife,0.34,Positive
Jodie Marsh to appeal decision over animal licence,Jodie Marsh runs the farm in Great Dunmow Essex and it is home to more than 400 animals,BBC Earth,2024-08-24T11:50:28.802935,jodie marsh appeal decision animal licence . jodie marsh run farm great dunmow essex home 400 animal,0.6249,Positive
Wet wipe factory closure sees 200 jobs lost,The company says it cannot make ecofriendly changes to its products in time for a UK deadline,BBC Earth,2024-08-24T11:50:28.802935,wet wipe factory closure see 200 job lost . company say make ecofriendly change product time uk deadline,-0.3182,Negative
One of the scariest places on Earth,In her latest book The Quickening the Pulitzer Prize finalist embarked on an epic odyssey to one of the most important and leastexplored places in the world,BBC Earth,2024-08-24T11:50:28.802935,one scariest place earth . latest book quickening pulitzer prize finalist embarked epic odyssey one important leastexplored place world,0.6249,Positive
This Australian election is about cost of living crime and pet crocs,The Northern Territory is one of the last places in the country crocodiles can be kept as pets,BBC Earth,2024-08-24T11:50:28.802935,australian election cost living crime pet crocs . northern territory one last place country crocodile kept pet,-0.5423,Negative
The secret animal reality show in your back garden,An online community has erupted around people filming wildlife with backyard trail cameras Its not just cute the videos are uncovering animal secrets for biologists,BBC Earth,2024-08-24T11:50:28.802935,secret animal reality show back garden . online community erupted around people filming wildlife backyard trail camera cute video uncovering animal secret biologist,0.4588,Positive
Berkshires Big Picture Fridays image of the county,Showcasing the best images sent to us from around Berkshire,BBC Earth,2024-08-24T11:50:28.802935,berkshire big picture friday image county . showcasing best image sent u around berkshire,0.6369,Positive
Gay animals more common than you would think,West Midlands Safari Park has two gay penguins and a lorikeet throuple,BBC Earth,2024-08-24T11:50:28.802935,gay animal common would think . west midland safari park two gay penguin lorikeet throuple,0.0,Neutral
RFK Jr Ends Campaign Backs Trump as Wife Cheryl Hines Says All Parties Are Truly Good People,Robert F Kennedy Jr has called off his longshot presidential campaign and has thrown his support behind Republican presidential nominee Donald Trump The move is a stunning bit of political calculus from a scion of Americas most storied Democratic dynasty Teased earlier this week by the candidate and his running mate Nicole Shanahan the news,Hollywood Reporter,2024-08-24T11:50:30.351390,rfk jr end campaign back trump wife cheryl hines say party truly good people . robert f kennedy jr called longshot presidential campaign thrown support behind republican presidential nominee donald trump move stunning bit political calculus scion america storied democratic dynasty teased earlier week candidate running mate nicole shanahan news,0.891,Positive
Would a Taylor Swift Endorsement Actually Impact the Presidential Race,Bad blood appears to abound between supporters for Vice President Kamala Harris and former President Donald Trump heading into Novembers tight presidential election While both sides have enlisted varying degrees of star power at their respective national conventions there appears to be one figure whose endorsement the two candidates seemingly covet Taylor Swift Trump took,Hollywood Reporter,2024-08-24T11:50:30.351390,would taylor swift endorsement actually impact presidential race . bad blood appears abound supporter vice president kamala harris former president donald trump heading november tight presidential election side enlisted varying degree star power respective national convention appears one figure whose endorsement two candidate seemingly covet taylor swift trump took,0.765,Positive
Ronda Rousey Apologizes for 2013 Sandy Hook Tweet I Should Have Been Canceled,Ronda Rousey has apologized for her 2013 tweet about the Sandy Hook Elementary School shooting The former MMA fighter shared a statement on social media expressing her regret over sharing a conspiracy theory video that suggested that the shooting had been staged I cant say how many times Ive redrafted this apology over the last,Hollywood Reporter,2024-08-24T11:50:30.351390,ronda rousey apologizes 2013 sandy hook tweet canceled . ronda rousey apologized 2013 tweet sandy hook elementary school shooting former mma fighter shared statement social medium expressing regret sharing conspiracy theory video suggested shooting staged cant say many time ive redrafted apology last,0.5574,Positive
Nicole Avant Reflects on Resilience and Coping with Loss No One Is Exempt,Nicole Avant spent much of her childhood summers in holiday enclaves like Oak Bluffs in Marthas Vineyard and Sag Harbor in Long Island vacation havens created by the Black middleclass elites as they were often denied entry elsewhere My parents took me there and it was great for me growing up to see Black doctors,Hollywood Reporter,2024-08-24T11:50:30.351390,nicole avant reflects resilience coping loss one exempt . nicole avant spent much childhood summer holiday enclave like oak bluff marthas vineyard sag harbor long island vacation haven created black middleclass elite often denied entry elsewhere parent took great growing see black doctor,0.802,Positive
Kamala Harris Is Campaigning as a Prosecutor Popular Entertainment Has Long Favored Their Antagonist,As she accepted the Democratic nomination Thursday night Kamala Harris played up her attorneygeneral past As a prosecutor when I had a case I charged it not in the name of the victim but in the name of the people she told the United Center crowd This follows a strategy she has pursued since ramping up,Hollywood Reporter,2024-08-24T11:50:30.351390,kamala harris campaigning prosecutor popular entertainment long favored antagonist . accepted democratic nomination thursday night kamala harris played attorneygeneral past prosecutor case charged name victim name people told united center crowd follows strategy pursued since ramping,0.836,Positive
DNC Day 4 Kamala Harris Accepts Nomination Capping FourNight Reintroduction to Voters,Vice President Kamala Harris strode onto the DNC stage at 1030 pm on the conventions closing night just after her beloved sister laid a firm foundation for her reintroduction to America something dozens of the most powerful people in the Democratic party also spent the past four nights doing Harris presented herself to the,Hollywood Reporter,2024-08-24T11:50:30.351390,dnc day 4 kamala harris accepts nomination capping fournight reintroduction voter . vice president kamala harris strode onto dnc stage 1030 pm convention closing night beloved sister laid firm foundation reintroduction america something dozen powerful people democratic party also spent past four night harris presented,0.8779,Positive
Kerry Washington Invokes Olivia Pope at DNC Has Scandal Reunion With Tony Goldwyn Onstage,The Democratic National Convention delighted Scandal fans everywhere when it announced that Kerry Washington and Tony Goldwyn would be among the weeks lineup of nightly Hollywood hosts The pair played out having proximity to the White House onscreen when they starred opposite each other as Washington DC fixer Olivia Pope and President Fitzgerald Fitz Grant,Hollywood Reporter,2024-08-24T11:50:30.351390,kerry washington invokes olivia pope dnc scandal reunion tony goldwyn onstage . democratic national convention delighted scandal fan everywhere announced kerry washington tony goldwyn would among week lineup nightly hollywood host pair played proximity white house onscreen starred opposite washington dc fixer olivia pope president fitzgerald fitz grant,0.5719,Positive
Rep Beyonc Is Not Performing at DNC Was Never Scheduled to Attend Exclusive,A representative for Beyonc says the singer will not attend the 2024 Democratic National Convention Beyonc was never scheduled to be there the Grammywinning stars rep tells The Hollywood Reporter The report of a performance is untrue Rumors about the pop star attending and performing at this years DNC celebrating Vice President Kamala Harris historic,Hollywood Reporter,2024-08-24T11:50:30.351390,rep beyonc performing dnc never scheduled attend exclusive . representative beyonc say singer attend 2024 democratic national convention beyonc never scheduled grammywinning star rep tell hollywood reporter report performance untrue rumor pop star attending performing year dnc celebrating vice president kamala harris historic,0.5155,Positive
Guillermo del Toro Spooked by Something Angry and Territorial in Haunted Hotel Room While Filming Frankenstein,Guillermo del Toros time filming Frankenstein in Aberdeen Scotland has been an interesting one or should I say a spooky one The Oscarwinning filmmaker has been taking to his X formerly Twitter account this week to document his stay in what he called the most haunted room at his hotel There have been so many,Hollywood Reporter,2024-08-24T11:50:30.351390,guillermo del toro spooked something angry territorial haunted hotel room filming frankenstein . guillermo del toros time filming frankenstein aberdeen scotland interesting one say spooky one oscarwinning filmmaker taking x formerly twitter account week document stay called haunted room hotel many,-0.7783,Negative
Ana Navarro Slams Ann Coulter for Mocking Tim Walzs Son Gus After Emotional DNC Moment,Democratic National Convention host Ana Navarro slammed Ann Coulter for mocking Gus Walz the 17yearold son of Democratic vice presidential nominee Tim Walz At the DNCs third night in Chicago Gus went viral for his emotional reaction to his father praising him his sister Hope and mother Gwen During his speech onstage accepting the nomination,Hollywood Reporter,2024-08-24T11:50:30.351390,ana navarro slam ann coulter mocking tim walzs son gu emotional dnc moment . democratic national convention host ana navarro slammed ann coulter mocking gu walz 17yearold son democratic vice presidential nominee tim walz dncs third night chicago gu went viral emotional reaction father praising sister hope mother gwen speech onstage accepting nomination,0.4939,Positive
How to Stream the Fourth and Final Night of the Democratic National Convention Online,The Democratic National Convention is on its fourth and final day with Vice President Kamala Harris set to accept the partys nomination Thursday night Kerry Washington hosts tonights festivities which feature performances by Pink and the Chicks and speakers including Massachusetts Sen Elizabeth Warren Rev Al Sharpton Meena Harris Ella Emhoff and more The fourday,Hollywood Reporter,2024-08-24T11:50:30.351390,stream fourth final night democratic national convention online . democratic national convention fourth final day vice president kamala harris set accept party nomination thursday night kerry washington host tonight festivity feature performance pink chick speaker including massachusetts sen elizabeth warren rev al sharpton meena harris ella emhoff fourday,0.8176,Positive
Oprah Spike Lee Julia LouisDreyfus Lil Jon and More Stars at the 2024 DNC,After Julys Republican National Convention attracted such luminaries as Hulk Hogan Kid Rock and Amber Rose this years Democratic National Convention is drawing arguably bigger stars like Oprah Spike Lee Julia LouisDreyfus and Stevie Wonder This years DNC celebrating Vice President Kamala Harris historic presidential nomination was hosted by Tony Goldwyn Ana Navarro Mindy Kaling,Hollywood Reporter,2024-08-24T11:50:30.351390,oprah spike lee julia louisdreyfus lil jon star 2024 dnc . july republican national convention attracted luminary hulk hogan kid rock amber rose year democratic national convention drawing arguably bigger star like oprah spike lee julia louisdreyfus stevie wonder year dnc celebrating vice president kamala harris historic presidential nomination hosted tony goldwyn ana navarro mindy kaling,0.7906,Positive
Disappointed but not surprised Former employees speak on OpenAIs opposition to SB 1047,Two former OpenAI researchers who resigned this year over safety concerns say they are disappointed but not surprised by OpenAIs decision to oppose Californias bill to prevent AI disasters SB,TechCrunch,2024-08-24T11:50:31.795308,disappointed surprised former employee speak openais opposition sb 1047. two former openai researcher resigned year safety concern say disappointed surprised openais decision oppose california bill prevent ai disaster sb,-0.765,Negative
VC Neil Mehta whos quietly nabbing prized SF property plans a Y Combinator for restaurants,Neil Mehta the VC behind the acquisition of a string of properties on San Franciscos tony Fillmore Street made waves earlier this week for reportedly throwing longestablished local restaurants to,TechCrunch,2024-08-24T11:50:31.795308,vc neil mehta who quietly nabbing prized sf property plan combinator restaurant . neil mehta vc behind acquisition string property san franciscos tony fillmore street made wave earlier week reportedly throwing longestablished local restaurant,0.5267,Positive
Justice Department sues RealPage over allegedly helping landlords collude to drive up rents,RealPage which makes property management software was sued Friday by the US Justice Department and eight attorneys general for allegedly helping apartment and building managers around the country collude to,TechCrunch,2024-08-24T11:50:31.795308,justice department sue realpage allegedly helping landlord collude drive rent . realpage make property management software sued friday u justice department eight attorney general allegedly helping apartment building manager around country collude,0.8807,Positive
Colorful Capital will stop trying to raise for a fund,Colorful Capitals cofounders William Burckart and Megan Kashner declined to comment,TechCrunch,2024-08-24T11:50:31.795308,colorful capital stop trying raise fund . colorful capital cofounder william burckart megan kashner declined comment,-0.296,Negative
Andrew Ng steps back at Landing AI after announcing new fund,Andrew Ng is stepping down from his role as CEO at Landing AI the computer vision platform he founded in 2017 Dan Maloney formerly the COO will take the reins,TechCrunch,2024-08-24T11:50:31.795308,andrew ng step back landing ai announcing new fund . andrew ng stepping role ceo landing ai computer vision platform founded 2017 dan maloney formerly coo take rein,0.25,Positive
Piramidals foundation model for brainwaves could supercharge EEGs,AI models are being applied to every dataset under the sun but are inconsistent in their outcomes This is as true in the medical world as anywhere else but a,TechCrunch,2024-08-24T11:50:31.795308,piramidals foundation model brainwave could supercharge eeg . ai model applied every dataset sun inconsistent outcome true medical world anywhere else,0.4215,Positive
MA can open up the playing field for the competition,No two businesses are the same and thats good news As we saw again this week it opens up space for companies to try opposite approaches join forces or challenge,TechCrunch,2024-08-24T11:50:31.795308,open playing field competition . two business thats good news saw week open space company try opposite approach join force challenge,0.7351,Positive
Marc Andreessens family plans to build a visionary subdivision near the proposed California Forever utopia city,Marc Andreessens family is planning to build a large housing development near the proposed California Forever city,TechCrunch,2024-08-24T11:50:31.795308,marc andreessens family plan build visionary subdivision near proposed california forever utopia city . marc andreessens family planning build large housing development near proposed california forever city,0.5267,Positive
Canoos chief technology officer is out amid wider reorg,EV startup Canoos chief technology officer Sohel Merchant has left the company two people familiar with his departure have told TechCrunch Merchant was one of the members of Canoos founding,TechCrunch,2024-08-24T11:50:31.795308,canoos chief technology officer amid wider reorg . ev startup canoos chief technology officer sohel merchant left company two people familiar departure told techcrunch merchant one member canoos founding,0.0,Neutral
Halliburton shuts down systems after cyberattack,A company spokesperson for the oil drilling and fracking giant declined to name the executive overseeing cybersecurity if any,TechCrunch,2024-08-24T11:50:31.795308,halliburton shuts system cyberattack . company spokesperson oil drilling fracking giant declined name executive overseeing cybersecurity,0.0,Neutral
